id,datetime,open,high,low,close,volume
CFFEX.T2212,2022-09-05 14:17:00,101.765,101.765,101.75,101.755,655.0
CFFEX.T2212,2022-09-05 14:18:00,101.755,101.755,101.745,101.745,215.0
CFFEX.T2212,2022-09-05 14:19:00,101.745,101.755,101.725,101.725,1201.0
CFFEX.T2212,2022-09-05 14:20:00,101.725,101.74,101.72,101.725,708.0
CFFEX.T2212,2022-09-05 14:21:00,101.725,101.735,101.715,101.735,795.0
CFFEX.T2212,2022-09-05 14:22:00,101.735,101.735,101.71,101.71,437.0
CFFEX.T2212,2022-09-05 14:23:00,101.71,101.715,101.68,101.695,1296.0
CFFEX.T2212,2022-09-05 14:24:00,101.695,101.7,101.685,101.69,562.0
CFFEX.T2212,2022-09-05 14:25:00,101.69,101.71,101.69,101.705,502.0
CFFEX.T2212,2022-09-05 14:26:00,101.705,101.71,101.7,101.705,177.0
CFFEX.T2212,2022-09-05 14:27:00,101.705,101.72,101.7,101.72,398.0
CFFEX.T2212,2022-09-05 14:28:00,101.72,101.72,101.71,101.715,343.0
CFFEX.T2212,2022-09-05 14:29:00,101.715,101.72,101.715,101.715,188.0
CFFEX.T2212,2022-09-05 14:30:00,101.715,101.715,101.705,101.705,627.0
CFFEX.T2212,2022-09-05 14:31:00,101.705,101.71,101.695,101.7,533.0
CFFEX.T2212,2022-09-05 14:32:00,101.7,101.715,101.7,101.715,549.0
CFFEX.T2212,2022-09-05 14:33:00,101.715,101.715,101.69,101.69,370.0
CFFEX.T2212,2022-09-05 14:34:00,101.69,101.695,101.68,101.69,612.0
CFFEX.T2212,2022-09-05 14:35:00,101.69,101.69,101.66,101.665,1022.0
CFFEX.T2212,2022-09-05 14:36:00,101.665,101.67,101.655,101.665,642.0
CFFEX.T2212,2022-09-05 14:37:00,101.665,101.685,101.665,101.67,568.0
CFFEX.T2212,2022-09-05 14:38:00,101.67,101.69,101.67,101.685,219.0
CFFEX.T2212,2022-09-05 14:39:00,101.685,101.69,101.665,101.675,406.0
CFFEX.T2212,2022-09-05 14:40:00,101.675,101.685,101.675,101.685,240.0
CFFEX.T2212,2022-09-05 14:41:00,101.685,101.69,101.68,101.685,82.0
CFFEX.T2212,2022-09-05 14:42:00,101.685,101.695,101.685,101.695,191.0
CFFEX.T2212,2022-09-05 14:43:00,101.695,101.695,101.69,101.69,71.0
CFFEX.T2212,2022-09-05 14:44:00,101.69,101.71,101.69,101.7,728.0
CFFEX.T2212,2022-09-05 14:45:00,101.7,101.705,101.695,101.695,131.0
CFFEX.T2212,2022-09-05 14:46:00,101.695,101.7,101.69,101.695,162.0
CFFEX.T2212,2022-09-05 14:47:00,101.695,101.695,101.695,101.695,80.0
CFFEX.T2212,2022-09-05 14:48:00,101.695,101.7,101.685,101.685,176.0
CFFEX.T2212,2022-09-05 14:49:00,101.685,101.69,101.68,101.685,133.0
CFFEX.T2212,2022-09-05 14:50:00,101.685,101.69,101.685,101.685,162.0
CFFEX.T2212,2022-09-05 14:51:00,101.685,101.685,101.675,101.68,239.0
CFFEX.T2212,2022-09-05 14:52:00,101.68,101.69,101.68,101.685,244.0
CFFEX.T2212,2022-09-05 14:53:00,101.685,101.695,101.685,101.69,302.0
CFFEX.T2212,2022-09-05 14:54:00,101.69,101.69,101.675,101.68,304.0
CFFEX.T2212,2022-09-05 14:55:00,101.68,101.68,101.67,101.675,142.0
CFFEX.T2212,2022-09-05 14:56:00,101.675,101.68,101.675,101.675,78.0
CFFEX.T2212,2022-09-05 14:57:00,101.675,101.675,101.665,101.665,268.0
CFFEX.T2212,2022-09-05 14:58:00,101.665,101.675,101.665,101.67,296.0
CFFEX.T2212,2022-09-05 14:59:00,101.67,101.685,101.67,101.675,247.0
CFFEX.T2212,2022-09-05 15:00:00,101.675,101.685,101.675,101.68,298.0
CFFEX.T2212,2022-09-05 15:01:00,101.68,101.695,101.68,101.69,338.0
CFFEX.T2212,2022-09-05 15:02:00,101.69,101.69,101.675,101.685,216.0
CFFEX.T2212,2022-09-05 15:03:00,101.685,101.69,101.68,101.685,127.0
CFFEX.T2212,2022-09-05 15:04:00,101.685,101.69,101.685,101.69,77.0
CFFEX.T2212,2022-09-05 15:05:00,101.69,101.7,101.68,101.68,318.0
CFFEX.T2212,2022-09-05 15:06:00,101.68,101.7,101.68,101.695,140.0
